17001	F	殘缺的溫柔	葉璦菱	1	05	0
17002	F	停不了的愛	葉璦菱	1	05	0
17003	F	心疼	大小百合	1	02	0
17004	F	單身貴族	陳小雲	1	04	0
17005	F	愛的苦酒	陳小雲	1	04	0
17006	F	一把情種	陳小雲	1	04	0
17007	M	九月九的酒	余天	1	05	0
17008	O	兩顆心萬縷情	余天、李亞萍	1	06	0
17021	F	守夜	談芳兵	1	02	0
17022	M	久違的哥們	余天	1	05	0
17023	M	冷冷的心上人	沈文程	1	06	0
17024	M	小河之歌	沈文程	1	04	0
17025	M	往事	沈文程	1	02	0
17026	O	讓溫柔與眾不同	余天、余筱萍	1	07	0
17027	M	妹妹我愛你	黃安	1	05	0
17028	M	漂泊	沈文程	1	02	0
17029	F	葡萄成熟時	魏海珊	1	05	0
17030	M	不敢把淚流	余天	1	05	0
17031	F	月亮代表我的心	葉蔻	1	07	0
17032	M	蒼白的記憶	余帝	1	05	0
17033	F	原諒我吧心上人	吳秀珠	1	07	0
17034	F	冬戀	陳芬蘭	1	02	0
17035	M	汪洋中的一條船	余天	1	07	0
17036	F	解藥	堂娜	1	02	0
17037	F	失憶	林曉培	1	02	0
17038	F	戀人	孟庭葦	1	02	0
17039	M	無敵鐵金剛	刺客合唱團	1	05	0
17040	F	手太小	林曉培	1	03	0
17041	F	那又如何	林曉培	1	04	0
17042	F	煩	林曉培	1	01	0
17043	F	如果我是男生	丁小芹	1	06	0
17044	F	她的眼淚	林曉培	1	04	0
17045	F	搶先一步	林曉培	1	04	0
17046	F	又不是非要你的愛	林曉培	1	08	0
17047	F	She Knows	林曉培	1	01	0
17048	F	盲目的CIMDERELLA	林曉培	1	04	0
17049	F	心動	林曉培	1	02	0
17050	F	Wake Up	林曉培	1	01	0
17051	F	This Is	林曉培	1	01	0
17052	G	女生向前走	合唱	1	05	0
17053	F	恰似你的溫柔	鄭怡	1	06	0
17054	F	春風吻上我的臉	蘇霈	1	07	0
17055	F	挽回	龍飄飄	1	02	0
17056	F	黃昏的故鄉	龍飄飄	1	05	0
17057	F	遲來的愛	龍飄飄	1	04	0
17058	F	為什麼離開我	龍飄飄	1	06	0
17059	F	晚風	龍飄飄	1	02	0
17060	F	順風珍重	龍飄飄	1	04	0
17061	F	瀟灑的走	龍飄飄	1	04	0
17062	F	迎接愛的時光	龍飄飄	1	06	0
17063	F	江水悠悠淚長流	龍飄飄	1	07	0
17064	F	月兒像檸檬	龍飄飄	1	05	0
17065	F	薔薇之戀	龍飄飄	1	04	0
17066	F	追夢	龍飄飄	1	02	0
17067	F	開心年年	龍飄飄	1	04	0
17068	F	新年更加要努力	龍飄飄	1	07	0
17069	F	大家喜氣洋洋	龍飄飄	1	06	0
17070	F	新年好運樂陶陶	龍飄飄	1	07	0
17071	F	今年吉星高高照	龍飄飄	1	07	0
17072	F	發達發大財	龍飄飄	1	05	0
17073	F	滿園飄呀飄花香	龍飄飄	1	07	0
17074	F	平安豐收年	龍飄飄	1	05	0
17075	F	高高步步高	龍飄飄	1	05	0
17076	F	恭喜恭喜賀新年	龍飄飄	1	07	0
27001	F	等待春天	白冰冰	2	04	0
27002	F	今夜的PARTY	白冰冰	2	04	0
27003	F	愛情慾叨找	白冰冰	2	05	0
27004	F	卸妝	白冰冰	2	02	0
27005	M	天星伴天涯	葉啟田	2	05	0
27006	M	心痛	葉啟田	2	02	0
27007	M	乾一杯	葉啟田	2	03	0
