82886	F	101	梁靜茹	1	3	midi	http://i.eimg.com.tw/d/alb/76/99076.100.jpg?ver=0	
16817	F	107號牢房	林冠吟	1	6	midi	http://i.eimg.com.tw/d/alb/43/81743.100.jpg?ver=0	
82547	F	123木頭人	黑澀會美眉	1	6	midi		
82093	F	24hrs	莫文蔚	1	4	midi		
82113	F	612星球	S.H.E.	1	5	midi		
81609	F	7	櫻桃幫	1	1	midi		
81761	F	808	鄭秀文	1	3	midi	http://i.eimg.com.tw/d/alb/90/2690.100.jpg?ver=0	
16963	F	99次我愛他	元若藍	1	6	midi		
82764	F	ALIVE我的自由式	莫文蔚	1	6	midi		
81025	F	ALWAYS ON MY MIND	S.H.E	1	4	midi		
82905	F	AND I KNOW	順子	1	3	midi		
16713	F	Alright	蜜雪薇琪	1	1	midi	http://i.eimg.com.tw/d/alb/79/85679.100.jpg?ver=0	
16140	F	Are You Ready	張惠妹	1	1	midi	http://i.eimg.com.tw/d/alb/55/22555.100.jpg?ver=0	
82922	F	A級娛樂	張惠妹	1	4	midi		
82611	F	BABY BABY TELL ME	王心凌	1	4	midi		
82601	F	BABY FACE	蔡依林	1	2	midi		
81379	F	BABY對不起	李玟	1	4	midi	http://i.eimg.com.tw/d/alb/8/10508.100.jpg?ver=0	
81450	F	BAD BOY	張惠妹	1	2	midi		
82586	F	BEAUTY UP MY LIFE	S.H.E	1	4	midi		
48204	F	Beautiful Love	蔡健雅	1	1	midi	http://i.eimg.com.tw/d/alb/90/67190.100.jpg?ver=0	
81555	F	CAPPUCCINO	蕭亞軒	1	1	midi		
82399	F	COLD SILENCE	深白色2人組	1	2	midi		
81359	F	C大調	張韶涵	1	3	midi	http://i.eimg.com.tw/d/alb/23/84323.100.jpg?ver=0	
83257	F	D.I.S.C.O.	溫嵐	1	4	midi	http://i.eimg.com.tw/d/alb/93/130093.100.jpg?ver=6	
82344	F	DI DA DI	李玟	1	3	midi		
82791	F	DJ請別放情歌	阿妹妹	1	7	midi	http://i.eimg.com.tw/d/alb/58/22558.100.jpg?ver=0	
48249	F	DNA	BY2	1	1	midi	http://i.eimg.com.tw/d/alb/34/126034.100.jpg?ver=3	
82841	F	DO RE MI	旺福	1	3	midi		
48262	F	DON'T GO AWAY	BY2	1	1	midi		
82632	F	DREAM	徐若瑄	1	1	midi		
16427	F	Dancing All Night	謝金燕	1	1	midi		
16358	F	Diamond Sun	林曉培	1	1	midi		
82921	F	E-LOVER	孫燕姿	1	2	midi		
82820	F	FOR NO REASON	王若琳	1	3	midi		
81011	F	Fly Away	F.I.R.	1	2	midi	http://i.eimg.com.tw/d/alb/36/51136.100.jpg?ver=0	
81013	F	GET HIGH	F.I.R	1	2	midi		
81156	F	GOOD-BYE	蔡依林	1	2	midi		
16491	F	Give Me Love	閃亮三姊妹	1	1	midi	http://i.eimg.com.tw/d/alb/32/54432.100.jpg?ver=0	
82804	F	HIGH HIGH HIGH	張惠妹	1	3	midi		
83139	F	HONEY	王心凌	1	1	midi		
82595	F	HONEY HONEY HONEY	蕭亞軒	1	3	midi		
16842	F	I Gotta Let You Know	陶莉萍	1	1	midi	http://i.eimg.com.tw/d/alb/47/82447.100.jpg?ver=0	
81606	F	I NEED YOU	郭采潔	1	3	midi		
82737	F	I Wanna Rock	櫻桃幫	1	3	midi	http://i.eimg.com.tw/d/alb/17/69717.100.jpg?ver=0	
16458	F	I.O.I.O	S.H.E	1	1	midi	http://i.eimg.com.tw/d/alb/81/29681.100.jpg?ver=0	
16782	F	It's over	阮筱芬	1	1	midi	http://i.eimg.com.tw/d/alb/95/85795.100.jpg?ver=0	
81697	F	L.O.V.E	郭采潔	1	4	midi		
16721	F	L.o.V.e	蕭亞軒	1	1	midi		
81364	F	LEAVE	郭靜	1	1	midi		
81153	F	LET'S MOVE IT	蔡依林	1	3	midi		
81152	F	LOVE LOVE LOVE	蔡依林	1	3	midi		
82362	F	LOVE*3	F.I.R	1	3	midi		
81007	F	LYDIA	F.I.R.	1	1	midi		
81563	F	MAGIC	戴愛玲	1	1	midi		
81810	F	MAMA MAMA	張韶涵	1	2	midi		
81457	F	MEN'S TALK	張清芳	1	2	midi		
340286	F	MUSIC IS MY LIFE	何耀珊	1	4	midi		
82696	F	NEVER MIND	S.H.E	1	2	midi		
83487	F	ONLY ONE	順子	1	2	midi		
81460	F	OPEN YOUR EYES	張惠妹	1	3	midi		
83448	F	OS不一樣	溫嵐	1	5	midi	http://i.eimg.com.tw/d/alb/62/93862.100.jpg?ver=0	
16566	F	On My Way	王心凌	1	1	midi		
81225	F	PP別黏在椅上	BY2	1	7	midi	http://i.eimg.com.tw/d/alb/26/103626.100.jpg?ver=0	
83524	F	QUEEN	楊乃文	1	1	midi		
81026	F	REMEMBER	S.H.E	1	1	midi		
81018	F	REVOLUTION	F.I.R.	1	1	midi		
82772	F	RING RING RING	S.H.E	1	3	midi		
82557	F	SHAKE IT BABY	黑澀會美眉	1	3	midi		
16359	F	SHE KNOWS	林曉培	1	1	midi		
81522	F	SO CRAZY	李玟	1	19	midi		
48088	F	SUNRISES	順子	1	1	midi		
83529	F	SUPER NO.1	卓文萱	1	3	midi		
81022	F	SUPER STAR	S.H.E	1	2	midi		
16504	F	Stefnaie	孫燕姿	1	1	midi		
16765	F	Stop	阮筱芬	1	1	midi	http://i.eimg.com.tw/d/alb/95/85795.100.jpg?ver=0	
16624	F	Super Model	S.H.E	1	1	midi	http://i.eimg.com.tw/d/alb/30/56330.100.jpg?ver=0	
16739	F	The Moment 這一刻	孫燕姿	1	5	midi		
99966	F	WOMAN POWER（MTV）	舞曲	1	2	midi		
82456	F	WOOSA WOOSA	王心凌	1	2	midi		
16481	F	Woman Power	芭比	1	1	midi		
82128	F	YES OR NO	張惠妹	1	25	midi		
81158	F	YESTERDAY	蔡淳佳	1	1	midi		
81463	F	YOU MAKE ME FREE	張惠妹	1	4	midi		
81685	F	一下下	同恩	1	3	midi	http://i.eimg.com.tw/d/alb/45/69845.100.jpg?ver=0	
81754	F	一串心	沈雁	1	3	midi		
82016	F	一代佳人	湯蘭花	1	4	midi		
82015	F	一代女皇	金佩珊	1	4	midi		
48061	F	一個人	蔡依林	1	3	midi	http://i.eimg.com.tw/d/alb/34/97034.100.jpg?ver=0	
83111	F	一個人	林慧萍	1	3	midi	http://i.eimg.com.tw/d/alb/93/51693.100.jpg?ver=0	
82692	F	一個人失憶	薛凱琪	1	5	midi	http://i.eimg.com.tw/d/alb/28/103928.100.jpg?ver=0	
81060	F	一個人的我依然會微笑	林佳儀	1	10	midi		
81546	F	一個人的精彩	蕭亞軒	1	6	midi	http://i.eimg.com.tw/d/alb/10/46410.100.jpg?ver=0	
48273	F	一個人的行李	戴佩妮	1	6	midi	http://i.eimg.com.tw/d/alb/53/80553.100.jpg?ver=0	
