82886	F	101	梁靜茹	1	3	0	http://i.eimg.com.tw/d/alb/76/99076.100.jpg?ver=0	
16817	F	107號牢房	林冠吟	1	6	0	http://i.eimg.com.tw/d/alb/43/81743.100.jpg?ver=0	
82547	F	123木頭人	黑澀會美眉	1	6	0		
39019	F	2002電PARTY NON STOP REMIX	鄭秀文	1	9	0		A30452
82093	F	24hrs	莫文蔚	1	4	0		
82113	F	612星球	S.H.E.	1	5	0		
81609	F	7	櫻桃幫	1	1	0		
81761	F	808	鄭秀文	1	3	0	http://i.eimg.com.tw/d/alb/90/2690.100.jpg?ver=0	
16963	F	99次我愛他	元若藍	1	6	0		
82764	F	ALIVE我的自由式	莫文蔚	1	6	0		
315001	F	ALIVE（我的自由式）	莫文蔚	1	1	0		S00390
335001	F	ALL ABOUT US	許慧欣	1	3	0		U00545
81025	F	ALWAYS ON MY MIND	S.H.E	1	4	0		
32742	F	AM PM	莫文蔚	1	2	0	http://i.eimg.com.tw/d/alb/99/63499.100.jpg?ver=0	YS-95B026
31001	F	AMOUR	梁詠琪	1	1	0		YS-0654
82905	F	AND I KNOW	順子	1	3	0		
330001	F	AND MUSIC'S THERE	順子	1	3	0		I20699
330003	F	ARE YOU READY	張惠妹	1	3	0		F00076
16713	F	Alright	蜜雪薇琪	1	1	0	http://i.eimg.com.tw/d/alb/79/85679.100.jpg?ver=0	
16140	F	Are You Ready	張惠妹	1	1	0	http://i.eimg.com.tw/d/alb/55/22555.100.jpg?ver=0	
34003	F	A級娛樂	張惠妹	1	4	0		A30160
82922	F	A級娛樂	張惠妹	1	4	0		
34663	F	BABY BABY TELL ME	王心凌	1	4	0		YS-94A200
82611	F	BABY BABY TELL ME	王心凌	1	4	0		
82601	F	BABY FACE	蔡依林	1	2	0		
34004	F	BABY對不起	李玟	1	4	0	http://i.eimg.com.tw/d/alb/8/10508.100.jpg?ver=0	M30189
